scheme_slug,scheme_name,faq_number,question,answer
mgbghsc,Maintenance of Govt Boys and Girls Hostels (SC),1,Who is eligible for this hostel scheme?,SC (Scheduled Caste) students from Gujarat who have passed Class 10 and are pursuing further education.
mgbghsc,Maintenance of Govt Boys and Girls Hostels (SC),2,What benefits are provided under this scheme?,"Free hostel stay, meals, textbooks, and study environment."
mgbghsc,Maintenance of Govt Boys and Girls Hostels (SC),3,Can students from other states apply?,"No, only permanent residents of Gujarat are eligible."
mgbghsc,Maintenance of Govt Boys and Girls Hostels (SC),4,Is distance education allowed for hostel admission?,"No, admission is only for students in regular courses, not distance learning."
mgbghsc,Maintenance of Govt Boys and Girls Hostels (SC),5,Where can I apply for this scheme?,Applications can be made online at https://esamajkalyan.gujarat.gov.in
mgbghsc,Maintenance of Govt Boys and Girls Hostels (SC),6,Is there an application fee?,"No, applying for this scheme is completely free."
mgbghsc,Maintenance of Govt Boys and Girls Hostels (SC),7,Can old students reapply every year?,"Yes, existing hostel students must reapply online annually."
mgbghsc,Maintenance of Govt Boys and Girls Hostels (SC),8,Can I choose any hostel in Gujarat?,No. You must take admission in a college located in the same district as the hostel.
mgbghsc,Maintenance of Govt Boys and Girls Hostels (SC),9,Is there a priority or merit system?,"Yes, admission is given based on merit and availability of seats."
mgbghsc,Maintenance of Govt Boys and Girls Hostels (SC),10,Whom should I contact for help?,Applicants can contact the Social Justice and Empowerment Department or visit the official portal for support.
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,1,Who can apply for the MGBUY?,"Residents of Jharkhand with an annual income below [?]8,00,000 suffering from specific critical illnesses can apply."
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,2,Are acid attack victims eligible?,"Yes, they are eligible regardless of income."
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,3,What illnesses are covered under this scheme?,"All types of cancer, kidney transplant, and severe liver diseases are covered."
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,4,Are private hospitals included?,Only empaneled private hospitals listed under the scheme are eligible.
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,5,"Can the assistance amount exceed ₹5,00,000?","In exceptional cases, additional amounts may be approved by the Cabinet."
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,6,Is income proof mandatory for acid attack victims?,"No, income proof is not required for acid attack cases."
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,7,How is the grant amount disbursed?,The amount is transferred directly to the hospital via bank draft or electronic transfer.
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,8,Where can I get the application form?,Application forms are available at the Civil Surgeon's office.
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,9,What documents are needed to apply?,"Residence proof, income certificate, medical reports, hospital registration, and bank account details."
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,10,Can applicants apply for multiple treatments?,"Yes, provided the illnesses fall within the scheme's scope."
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,11,What is the role of the district committee?,"The committee verifies applications, approves grants, and monitors disbursals."
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,12,Is the scheme applicable for emergency treatments?,"Yes, immediate assistance is provided, but post-approval is required."
mgbuy,Mukhyamantri Gambhir Bimari Upchar Yojana,13,How often are district committee meetings held?,"Meetings are held weekly, typically every Monday."
mgdspkdwatana,"Marriage Grant of Rs.51,000/- to Daughter/Sister of Personnel Killed/ Disabled in War/ Action/Terrorist Attack/Naxalite Attack/IS Duty",1,Who can apply for this scheme?,The sister or daughter of a martyred officer or soldier who was a permanent resident of Madhya Pradesh.
mgdspkdwatana,"Marriage Grant of Rs.51,000/- to Daughter/Sister of Personnel Killed/ Disabled in War/ Action/Terrorist Attack/Naxalite Attack/IS Duty",2,What is the amount of assistance provided?,"Financial assistance of ₹51,000 as a one-time gift."
mgdspkdwatana,"Marriage Grant of Rs.51,000/- to Daughter/Sister of Personnel Killed/ Disabled in War/ Action/Terrorist Attack/Naxalite Attack/IS Duty",3,Is there any application fee?,"No, the application process is completely free."
mgdspkdwatana,"Marriage Grant of Rs.51,000/- to Daughter/Sister of Personnel Killed/ Disabled in War/ Action/Terrorist Attack/Naxalite Attack/IS Duty",4,What documents are required for application?,"Proof of relationship, domicile, death certificate, battle casualty report, and marriage proof."
mgdspkdwatana,"Marriage Grant of Rs.51,000/- to Daughter/Sister of Personnel Killed/ Disabled in War/ Action/Terrorist Attack/Naxalite Attack/IS Duty",5,Can the benefit be claimed if the martyr’s family already received Central Government aid?,Not for the same purpose; a self-declaration affidavit must confirm this.
mgdspkdwatana,"Marriage Grant of Rs.51,000/- to Daughter/Sister of Personnel Killed/ Disabled in War/ Action/Terrorist Attack/Naxalite Attack/IS Duty",6,Is the scheme applicable to all types of martyrs?,"Yes, including those who died in war, terrorist attacks, Naxalite operations, or internal security duties."
mgdspkdwatana,"Marriage Grant of Rs.51,000/- to Daughter/Sister of Personnel Killed/ Disabled in War/ Action/Terrorist Attack/Naxalite Attack/IS Duty",7,Where should the application be submitted?,The application is submitted at the District Sainik Welfare Office of the applicant’s district.
mgfs,Meghalaya Goat Farming Scheme,1,What is Meghalaya Goat Farming Development Scheme ?,"Meghalaya Goat Farming Development Scheme is a credit linked scheme launched by Animal Husbandry & Veterinary Department to foster goat rearing as a significant economic activity in the state. Under this financial aid of 50% on the total project cost, training, capacity building, and mentorship is provided to help goat farmers improve their production, boost their income, and address nutritional challenges in the state. The project cost includes construction of shed; buying animals; cost associated with veterinary care and buying feed; and contingency cost."
mgfs,Meghalaya Goat Farming Scheme,2,How is it connected to CM -ELEVATE program?,Meghalaya Goat Farming Development Scheme is one of the 15 other bank linked schemes being launched under the CM-ELEVATE programs.
mgfs,Meghalaya Goat Farming Scheme,3,Who is implementing the Scheme?,Animal Husbandry & Veterinary Department is implementing the scheme at state level.
mgfs,Meghalaya Goat Farming Scheme,4,Can I make changes to my application after submission?,No changes will be applicable after submission. It is advisable that the applicants read and answer each question carefully and all changes should be made before submitting the application.
mgfs,Meghalaya Goat Farming Scheme,5,Who can apply as an individual under the scheme?,Individuals aged 18 to 58 years who own or lease land and have a training certificate in goat farming from a recognized institution.
mgfs,Meghalaya Goat Farming Scheme,6,Is training mandatory for the scheme?,"Yes, applicants must possess a training certificate from a recognized institution, preferably a government institute."
mgfs,Meghalaya Goat Farming Scheme,7,What are the requirements regarding goat feed?,Applicants should have access to adequate and quality feed for their goats.
mgfs,Meghalaya Goat Farming Scheme,8,Where should the applicant’s village be located?,"The village must be in an area suitable for goat rearing, with a reasonable distance to the nearest market."
mgfs,Meghalaya Goat Farming Scheme,9,Is a marketing strategy required for entities?,"Yes, a clear marketing plan for goats and goat products is required."
mgfs,Meghalaya Goat Farming Scheme,10,What must unregistered entities provide?,"A constitution/bylaws/framework outlining the group’s structure, objectives, and procedures."
mgioeca,Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,1,What is the eligibility period for a cultural organization to apply for the maintenance grant?,A cultural organization must have been engaged in cultural activities for at least two years prior to the application date for the grant-in-aid.
mgioeca,Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,2,What are the financial requirements for a cultural organization applying for the maintenance grant?,"The organization's accounts must be duly audited and approved by a competent person or body, as per the rules accompanying the Memorandum of Association."
mgioeca,Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,3,Can a cultural organization that operates for profit apply for the maintenance grant?,"No, the organization must not be run for profit to any individual or a body of individuals."
mgioeca,Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,4,What happens if an organization has defaulted in submitting utilization certificates for previous grants?,Institutions that have defaulted in submitting utilization certificates for previous grants are not eligible for new grants.
mgioeca,Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,5,What is the amount of the maintenance grant provided to eligible institutions?,The maintenance grant provided is [?]3000/-.
mgioeca,Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,6,What is the amount provided for cultural activities under the grant scheme?,The grant for cultural activities is [?]5000/-.
mgioeca,Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,7,Who is considered a competent person or body for auditing the accounts of the institution?,A competent person or body is one that is recognized under the provisions of the rules accompanying the Memorandum of Association of the institution.
mgioeca,Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,8,Is there a specific format for submitting the utilization certificates for previous grants?,"Yes, utilization certificates must be submitted in the format specified by the granting authority."
mgioeca,Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,9,Can a newly established cultural organization apply for the maintenance grant?,"No, the organization must have been engaged in cultural activities for at least two years prior to applying."
mgioeca,Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,10,What documents are required to demonstrate that the organization is not run for profit?,The organization must provide its Memorandum of Association and financial statements demonstrating that it is not run for profit.
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,1,What is the objective of the scheme?,The scheme aims to provide financial assistance to marginalized communities for pursuing postgraduate studies in top-ranking universities abroad.
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,2,What courses are covered under this scholarship?,"Master's and M.Phil programs in disciplines like Engineering, Data Science, Management, Finance, and more."
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,3,Who can apply for this scholarship?,"Scheduled Tribes, Scheduled Castes, Minorities, and Backward Class students from Jharkhand fulfilling the eligibility criteria."
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,4,What is the age limit for applicants?,Applicants must be under 35 years old.
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,5,Does the scheme reserve seats for female candidates?,"Yes, 30% of the seats are reserved for female candidates."
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,6,Which universities are eligible for this scholarship?,Top 100 globally ranked universities and select institutions in the UK as per Annexure-A.
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,7,What expenses are covered under the scheme?,"Tuition fees, living expenses, return airfare, thesis costs, and exam fees."
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,8,What is the application timeline for the scholarship?,Applications align with the Chevening Scholarship schedule.
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,9,How is the selection process conducted?,"Through a multi-stage process including document verification, shortlisting, and interviews."
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,10,Are there specific guidelines for minority applicants?,Minority applicants must submit a self-declaration form.
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,11,What is the duration of the scholarship?,The scholarship covers programs of one or two years as per the course requirements.
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,12,Can applicants apply for multiple courses?,"No, only one course and university can be selected per application cycle."
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,13,What happens if I fail to complete my course?,"In such cases, the terms of the scholarship agreement apply, which may include repayment clauses."
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,14,Where can I get more details about the application process?,Visit www.chevening.org or contact the Jharkhand Welfare Department for further assistance.
mgjsmoss,Marang Gomke Jaipal Singh Munda Overseas Scholarship Scheme,15,Can the scholarship be extended for a Ph.D. program?,"No, the scholarship is limited to postgraduate programs only."
mgmdwdesmd,Marriage Grant for the Marriage of the Daughter of War Disabled Ex-Servicemen above 50% Disability,1,What is the primary benefit of this scheme?,"The primary benefit is financial assistance of [?]21,000 for the marriage of each dependent daughter of eligible war-disabled ex-servicemen."
mgmdwdesmd,Marriage Grant for the Marriage of the Daughter of War Disabled Ex-Servicemen above 50% Disability,2,How many daughters can receive this benefit under the scheme?,The benefit is provided for up to two daughters of the eligible war-disabled ex-servicemen.
mgmdwdesmd,Marriage Grant for the Marriage of the Daughter of War Disabled Ex-Servicemen above 50% Disability,3,What is the minimum age requirement for the daughters to receive the marriage grant?,The daughter must be at least 18 years old.
mgmdwdesmd,Marriage Grant for the Marriage of the Daughter of War Disabled Ex-Servicemen above 50% Disability,4,What is the eligibility criterion for the war-disabled ex-servicemen?,The ex-serviceman should have a disability assessed above 50%.
mgmdwdesmd,Marriage Grant for the Marriage of the Daughter of War Disabled Ex-Servicemen above 50% Disability,5,Does the applicant need to be a resident of Haryana?,"Yes, the applicant should be a bonafide resident of Haryana."
mgmdwdesmd,Marriage Grant for the Marriage of the Daughter of War Disabled Ex-Servicemen above 50% Disability,6,How can an eligible applicant apply for this scheme?,The applicant can apply online through the Official Portal- Antyodaya-SARAL Portal at https://saralharyana.gov.in/
mgmdwdesmd,Marriage Grant for the Marriage of the Daughter of War Disabled Ex-Servicemen above 50% Disability,7,Can applications be tracked?,"Yes, applications can be tracked through the Official Antyodaya-SARAL Portal by entering the Department Name, Scheme Name, and Application Reference ID at https://status.saralharyana.nic.in/"
mgmdwdesmd,Marriage Grant for the Marriage of the Daughter of War Disabled Ex-Servicemen above 50% Disability,8,Can the scheme benefit be availed for the marriage of sons?,"No, the scheme is specifically for the marriage of daughters."
mgmdwesmww,Marriage Grant for the Marriage of Daughters of Widows of Ex-servicemen (other than War Widows),1,What is the primary benefit of this scheme?,"The primary benefit is financial assistance of [?]11,000/- for the marriage of up to two daughters of widows of ex-servicemen (other than war widows)."
mgmdwesmww,Marriage Grant for the Marriage of Daughters of Widows of Ex-servicemen (other than War Widows),2,Who is eligible to apply for this scheme?,"The widow of an ex-serviceman who did not die in the war, is a resident of Haryana, and whose daughter(s) are at least 18 years old."
mgmdwesmww,Marriage Grant for the Marriage of Daughters of Widows of Ex-servicemen (other than War Widows),3,Does the widow need to be a resident of Haryana to be eligible?,"Yes, the widow must be a resident of Haryana."
mgmdwesmww,Marriage Grant for the Marriage of Daughters of Widows of Ex-servicemen (other than War Widows),4,Can a widow who has remarried apply for this scheme?,"Yes, but only if she has remarried the real brother of her late husband."
mgmdwesmww,Marriage Grant for the Marriage of Daughters of Widows of Ex-servicemen (other than War Widows),5,What is the age requirement for the daughters to receive this grant?,The daughter should be at least 18 years old.
mgmdwesmww,Marriage Grant for the Marriage of Daughters of Widows of Ex-servicemen (other than War Widows),6,How many daughters can receive this grant under the scheme?,The widow can receive the benefit for up to two of her daughters.
mgmdwesmww,Marriage Grant for the Marriage of Daughters of Widows of Ex-servicemen (other than War Widows),7,How can eligible applicants apply for this scheme?,Eligible applicants can apply online through the Antyodaya-SARAL Portal at https://saralharyana.gov.in/
mgmdwesmww,Marriage Grant for the Marriage of Daughters of Widows of Ex-servicemen (other than War Widows),8,How can applicants track their application status?,"Applicants can track their applications through the Antyodaya-SARAL Portal by entering their Department Name, Scheme Name, and Application Reference ID at https://status.saralharyana.nic.in/"
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,1,Who Are The Key Stakeholders In MGNREGA?,"The key stakeholders in MGNREGA are the following: | Wage seekers, Gram Sabha (GS), Three-tier Panchayati Raj Institutions (PRIs), Programme Officer at the Block level, District Programme Coordinator (DPC), State Government, Ministry of Rural Development (MoRD), Civil Society, Other stakeholders [viz. line departments, convergence departments, Self-Help Groups (SHGs), etc."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,2,"Will The Wage Be Paid Monthly, Weekly Or On Daily Basis?",The disbursement of daily wages shall be made on a weekly basis or in any case not later than a fortnight after the date on which such work was done.
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,3,What Is Wage Rate For Women Employed For Providing Child Care Services?,The women so employed should be paid remuneration equivalent to the prevailing wage rate.
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,4,What Information Will Be Provided In The Wage Slip?,"Individual pay slips or wage slips should have the details of wage payments like work ID, wage rate, number of days worked, amount earned by the worker during the week, number of mandays completed per HH and number of mandays of employment due to the households concerned etc. The format of the Wage Slip can be found in Annexure-15 of the scheme guidelines."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,5,How Are The Payments Of Wages Made To The Wage Seekers?,"The payment of wages shall, unless so exempted by the Central Government, be made through the individual savings accounts of the workers in the relevant banks or post offices."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,6,Is There Any Authentic Document Required To Open The Wage Seeker Account?,"MGNREGS Job Card, duly signed by the concerned officer is an officially valid document for opening a bank account under the Know Your Customer (KYC) norms."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,7,Is there any compensation for delay in payment of wages?,"MGNREGA has laid down a detailed procedure for establishing a delay compensation system. As per the system, MGNREGA workers are entitled to receive delay compensation at a rate of 0.05 per cent of the unpaid wages per day for the duration of the delay beyond the sixteenth day of the closure of the MR."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,8,What social security is provided for MGNREGS workers?,The two types of insurance provided under social security exclusively for MGNREGS workers are: | (i) Janashree Bima Yojana (JBY): JBY provides life coverage and disability benefits to rural people. | (ii) Rashtriya Swasthya Bima Yojana (RSBY): RSBY has been extended to all Mahatma Gandhi NREGA workers/ beneficiaries who have worked for more than 15 days in the preceding financial year.
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,9,Who Is Designated As PO In MGNREGS?,At the block level Executive authorities such as Tehsildar/Block Development Officer are often designated as PO. For blocks that have high concentration of SC/STs/landless labourers and are likely to have more demand for MGNREGA works should have a committed / dedicated PO for MGNREGA. The PO should not be assigned responsibilities not directly related to MGNREGA.
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,10,What Is A Job Card?,"Job Card is a key document that records workers' entitlements under MGNREGA. It legally empowers | the registered households to apply for work, ensures transparency and protects workers against fraud."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,11,Is There Any Pre-Printed Form For Providing Details While Registering For Job Card?,"The State Government may make a printed form available as per format prescribed in the relevant | Annexures of the MGNREGA Operational Guidelines 2013. However, a printed form should not be insisted upon."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,12,Can All Adult Members Of A Household Register For Job Card?,"Yes, all the adult members of a household willing to do unskilled manual work can register themselves to obtain a job card under MGNREGA."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,13,For How Many Years Is The Registration For Job Card Valid?,The registration is valid for five years and may be renewed/re-validated following process prescribed | for renewal/revalidation as and when required.
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,14,When Is An Applicant Eligible For Unemployment Allowance?,"If an applicant is not provided employment within fifteen days of receipt of his/her application seeking | employment, in all cases of advance application, employment should be provided from the date that | employment has been sought, or within 15 days of the date of application, whichever is later. Else, unemployment allowance becomes due. It will be calculated automatically by the computer system | or the Management Information System (MIS)."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,15,Who Constitutes Special Category Of Workers (Vulnerable Groups) Under MGNREGA?,The special category of workers are from: | i) Persons with disabilities | ii) Primitive Tribal Groups | iii) Nomadic Tribal Groups | iv) Denotified Tribes | v) Women in special circumstances | vi) Senior citizens above 65 years of age | vii) HIV positive persons | viii) Internally displaced persons | ix) Rehabilitated bonded labour
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,16,"Are Any Special Works Identified For Differently Abled Persons Working Under MGNREGA? If So, Provide A Few Examples.","Yes, several works are exclusively identified for differently abled persons. Further, suggestive works | for category of differently abled persons are provided. A few of the works are: Drinking water arrangements, Sprinkling water on newly built wall, Farm bunding, Looking after children, Plantation."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,17,Who Are Eligible To Become Members In Labour Groups?,Workers who have put in 10 days of work during the previous year are eligible to apply to be a member of the labour groups.
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,18,What Is The Procedure To Register Oneself For Employment?,"Household having adult members desirous of seeking unskilled wage employment in MGNREGA may apply for registration. The application for registration may be given on prescribed form or plain paper to the local Gram Panchayat. To allow maximum opportunities to families that may migrate, registration shall also be opened throughout the year at the GP office."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,19,"If The Information Contained In The Application Found To Be Incorrect, What Is The Process To Be Adopted?","The Gram Panchayat will refer the application to PO. The PO, after independent verification of facts and giving the person concerned an opportunity to be heard, may direct the GP to either - | (i). register the household or | (ii). reject the application or | (iii). secure the particulars correct and re-process the application."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,20,Should The Cost Towards Job Card (Including The Photograph Affixed On It) Be Borne By The Applicant?,"No, the cost of the Job Cards, including that of the photographs affixed on it, are covered under the administrative expenses and borne as a part of the programme cost."
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act,21,Is There Any Provision To Provide Duplicate Job Card For A Lost One?,"Yes, a Job Cardholder may apply for a duplicate Job Card, if the original is lost or damaged. The application will be given to the GP and shall be processed in the manner of a new application, with | the difference being that the particulars may also be verified using the duplicate copy of the JC maintained by the Panchayat."
mgodesm,Marriage Grant to Orphan Daughter of Ex-Servicemen,1,What is the financial assistance amount provided under this scheme?,"The scheme provides [?]51,000/- for the marriage of each dependent orphan daughter of an ex-serviceman."
mgodesm,Marriage Grant to Orphan Daughter of Ex-Servicemen,2,How many orphan daughters can benefit from this scheme?,Assistance is available for up to two orphan daughters of an ex-serviceman.
mgodesm,Marriage Grant to Orphan Daughter of Ex-Servicemen,3,What is the minimum age requirement for the orphan daughter to receive the grant?,The orphan daughter must be at least 18 years old to receive the grant.
mgodesm,Marriage Grant to Orphan Daughter of Ex-Servicemen,4,Who is eligible for the scheme?,The applicant must be a bonafide resident of Haryana and a dependent orphan daughter of an ex-serviceman who is at least 18 years old.
mgodesm,Marriage Grant to Orphan Daughter of Ex-Servicemen,5,How can eligible applicants apply for this scheme?,Eligible applicants can apply online through the Official Antyodaya-SARAL Portal at https://saralharyana.gov.in/.
mgodesm,Marriage Grant to Orphan Daughter of Ex-Servicemen,6,Is there a specific portal to track the application status?,"Yes, applicants can track their application status through the Official Antyodaya-SARAL Portal at https://status.saralharyana.nic.in/"
mgodesm,Marriage Grant to Orphan Daughter of Ex-Servicemen,7,Can the grant be claimed for more than two daughters?,No.
mgpny,Mukhyamantri Gramin Peyjal Nishchay Yojana,1,"What is the ""Mukhyamantri Gramin Peyjal Nishchay Yojana""?",This scheme aimed at providing safe drinking water through pipelines to rural households in Bihar.
mgpny,Mukhyamantri Gramin Peyjal Nishchay Yojana,2,When was this scheme launched?,The scheme was launched in 2016 and is expected to be completed by 2020.
mgpny,Mukhyamantri Gramin Peyjal Nishchay Yojana,3,How much water will be supplied to each household?,Each household will receive a maximum of 70 liters of drinking water per person per day.
mgpny,Mukhyamantri Gramin Peyjal Nishchay Yojana,4,Who is eligible to apply for this scheme?,Residents of rural Bihar who do not already have access to piped drinking water.
mgpny,Mukhyamantri Gramin Peyjal Nishchay Yojana,5,What documents are required to apply for the scheme?,"Applicants must provide identity proof, address proof, and details about their water requirements."
mgpny,Mukhyamantri Gramin Peyjal Nishchay Yojana,6,"How can someone apply for the ""Mukhyamantri Gramin Peyjal Nishchay Yojana""?","Applications can be submitted through the Gram Panchayat office, where applicants must fill out a form and submit the required documents."
mgpny,Mukhyamantri Gramin Peyjal Nishchay Yojana,7,Is there any fee associated with applying for the scheme?,"No, there is no fee for applying to the Mukhyamantri Gramin Peyjal Nishchay Yojana."
mgpny,Mukhyamantri Gramin Peyjal Nishchay Yojana,8,Will the water supply be continuous throughout the year?,"Yes, the scheme ensures a continuous supply of clean drinking water to rural households throughout the year."
mgpny,Mukhyamantri Gramin Peyjal Nishchay Yojana,9,What role do Gram Panchayats play in this scheme?,"Gram Panchayats are responsible for implementing, monitoring, and managing the water supply in rural areas, ensuring the operation and maintenance of the systems."
mgpny,Mukhyamantri Gramin Peyjal Nishchay Yojana,10,How will disputes related to the implementation of the scheme be handled?,"Any disputes arising during the implementation of the Mukhyamantri Gramin Peyjal Nishchay Yojana will be resolved by the District Water and Sanitation Committee, which holds the final authority in such matters."
mgpss,Mill Gate Price Subsidy Scheme,1,Who is eligible to apply for the yarn subsidy under this scheme?,"Handloom cooperative societies, NGOs, and development centers purchasing yarn from NHDC-recognized depots can apply."
mgpss,Mill Gate Price Subsidy Scheme,2,What percentage of subsidy is provided on yarn purchases?,A 15% subsidy is offered on yarn purchased from NHDC-recognized depots.
mgpss,Mill Gate Price Subsidy Scheme,3,From which depots must the yarn be purchased to qualify for the subsidy?,Yarn must be purchased from NHDC-recognized depots like Gujarat State Handloom & Handicrafts Development Corporation.
mgpss,Mill Gate Price Subsidy Scheme,4,Is there any freight reimbursement available under this scheme?,"Yes, freight reimbursement ranging from 1% to 8.5% is provided based on yarn type and region."
mgpss,Mill Gate Price Subsidy Scheme,5,How is the freight reimbursement percentage determined?,"It varies by yarn type (non-silk/jute, silk, jute/jute blended) and region (plain, hills/remote, North-East)."
mgpss,Mill Gate Price Subsidy Scheme,6,What additional charges are applicable for depot operations?,An extra 2.5% is charged for depot operating expenses.
mgpss,Mill Gate Price Subsidy Scheme,7,How is the 15% subsidy amount disbursed to beneficiaries?,The subsidy is transferred directly to beneficiaries' accounts through RTGS or e-payment.
mgpss,Mill Gate Price Subsidy Scheme,8,Is the freight reimbursement processed along with the yarn subsidy?,"No, freight reimbursement is processed separately from the yarn subsidy."
mgpss,Mill Gate Price Subsidy Scheme,9,What documents are required to claim the yarn purchase subsidy?,Applicants need purchase invoices from NHDC-recognized depots and bank details for disbursement.
mgpss,Mill Gate Price Subsidy Scheme,10,What proof is needed for freight reimbursement claims?,Freight receipts must be submitted along with the reimbursement application.
mgpss,Mill Gate Price Subsidy Scheme,11,Do applicants need to submit registration proof?,"Yes, cooperative societies and NGOs must provide their registration documents."
mgpss,Mill Gate Price Subsidy Scheme,12,Are individual weavers eligible for this subsidy?,"No, the scheme is only for handloom cooperatives, NGOs, and development centers."
mgpy,Mukhyamantri Gram Parivahan Yojana,1,"What is ""Mukhyamantri Gram Parivahan Yojana""?","The ""Mukhyamantri Gram Parivahan Yojana"" is a state initiative designed to provide financial assistance for purchasing vehicles to enhance rural transportation."
mgpy,Mukhyamantri Gram Parivahan Yojana,2,Who is eligible for this scheme?,The scheme is open to residents of Bihar state who belong to economically weaker sections or marginalized communities.
mgpy,Mukhyamantri Gram Parivahan Yojana,3,What types of vehicles are covered under this scheme?,"The scheme covers standard vehicles, e-rickshaws, and ambulances."
mgpy,Mukhyamantri Gram Parivahan Yojana,4,How much subsidy is provided under the scheme?,"Beneficiaries can receive: | 50% of the purchase price or up to [?]1,00,000/- for standard vehicles. | 50% of the purchase price or up to [?]70,000/- for e-rickshaws. | 50% of the purchase price or up to [?]2,00,000/- for ambulances."
mgpy,Mukhyamantri Gram Parivahan Yojana,5,What documents are required for the application?,"Applicants must provide ID proof, income certificate, vehicle invoice, bank details, and other supporting documents."
mgpy,Mukhyamantri Gram Parivahan Yojana,6,Can an individual apply for more than one vehicle under this scheme?,"No, each applicant can only benefit from the scheme for one vehicle type."
mgpy,Mukhyamantri Gram Parivahan Yojana,7,Can organizations or groups apply for this scheme?,"No, the scheme is exclusively for individual beneficiaries."
mgpy,Mukhyamantri Gram Parivahan Yojana,8,Can the subsidy be used to purchase a second-hand vehicle?,"No, the scheme provides assistance only for the purchase of new vehicles."
mgpy,Mukhyamantri Gram Parivahan Yojana,9,How are beneficiaries selected?,Beneficiaries are selected through a transparent process by the Panchayat or the concerned authority.
mgpy,Mukhyamantri Gram Parivahan Yojana,10,Whom should applicants contact for grievances or queries?,Applicants can reach out to the district transport department or the local Panchayat office for assistance.
mgs-goa,Matching Grant Scheme,1,"What is the duration of the validity of the Goa Start-up Policy 2017, and does it specify any review or renewal processes?","The document mentions that only expenditures incurred within the validity of the Goa Start-up Policy 2017 are considered for reimbursement under this scheme. However, the exact duration of the policy's validity and any provisions for review or renewal are not specified in the document. Start-ups may need to refer to the policy document itself or seek clarification from the relevant authorities regarding its validity and renewal processes."
