scheme_slug,scheme_name,question,answer
is-mesifai-vi,"""Interest Subsidy (For Micro, Small, Medium and Large New Industries)"" under ""Motivation of Entrepre",What is the timeline for submitting subsidy applications for capital investment?,The subsidy application for capital investment must be submitted within one year from the date of commencement of regular commercial production.
is-mesifai-vi,"""Interest Subsidy (For Micro, Small, Medium and Large New Industries)"" under ""Motivation of Entrepre",What is required for all claims to be supported according to the provided content?,All claims must be supported by a certificate issued by a Chartered Accountant.
is-mesifai,"""Interest Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to I",Are there any deadlines for submitting applications for the Interest Subsidy scheme?,"Yes, for new units, applications should be submitted within one year from the date of obtaining the Entrepreneurs Memorandum Part-2/Permanent Registration/Commencement of Production Certificate. For existing units, the deadline is within one year of completion of Expansion/Diversification/Modernizat"
is-mesifai,"""Interest Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to I",What is the purpose of providing a 'No Due Certificate of Interest' issued by the financial institution/bank?,"The 'No Due Certificate of Interest' is provided to certify that the industrial unit has cleared all outstanding interest payments to the financial institution, indicating compliance with the scheme requirements."
is,Incubation Scheme,What is the objective of Incubation Scheme?,The main objective of this Schemeis to promote and support untapped creativity and to promote adoption of latest technologies in MSMEs that seek the validation of their ideas at the proof-of-concept level.
is,Incubation Scheme,Who are eligible?,"Any person as individual or MSME, having the innovative ideas are eligible to avail the benefits of this scheme. The person should have innovative sort of idea which can be converted into prototype and further in business activity. The person is being called Incubatee."
isa,Insurance Scheme For Artisans Component of the Development of Handicrafts Scheme,"What is the primary objective of the ""Insurance Scheme For Artisans"" introduced by the Department of Industries and Commerce, Government of Puducherry?",The scheme aims to provide welfare measures for handicraft artisans by offering insurance coverage.
isa,Insurance Scheme For Artisans Component of the Development of Handicrafts Scheme,"How is the premium amount shared under the Insurance Scheme For Artisans, and what are the funding sources?","The premium is shared, with 50% from the Social Security Fund and the remaining 50% from the Government through DIC."
isac,Integrated Scheme on Agriculture Cooperation,What is the ISAC scheme?,"The ISAC scheme is a Central Sector Scheme of the Ministry of Agriculture and Farmers Welfare, Government of India. The scheme is being implemented through the National Cooperative Development Corporation (NCDC)."
isac,Integrated Scheme on Agriculture Cooperation,What are the objectives of the ISAC scheme?,The main objectives of the ISAC scheme are to: | - Provide financial assistance to cooperatives to improve their economic conditions. | - Remove regional imbalances and speed up cooperative development in agricultural and allied sectors. | - Help cotton growers to get better prices for their produce
isaltlcss,Interest Subvention against long terms loan to the Co-operative sugar societies (Normal Area) (Triba,What is the purpose of this scheme?,The purpose of this scheme is to provide financial relief to sugar cooperative societies by subsidizing the interest on loans taken for clearing sugarcane arrears for the 2018-19 season.
isaltlcss,Interest Subvention against long terms loan to the Co-operative sugar societies (Normal Area) (Triba,Who is eligible to apply for this scheme?,Only sugar cooperative societies that have taken a bank loan to pay sugarcane arrears for the 2018-19 season are eligible to apply.
isbadp,Inter-state Border Areas Development Programme,What is the Inter-State Border Areas Development Programme (ISBADP)?,The ISBADP is a government initiative aimed at promoting the overall development of regions located along inter-state borders in India. It focuses on addressing the unique developmental challenges faced by these border areas and improving the socio-economic conditions of the local population.
isbadp,Inter-state Border Areas Development Programme,Who is eligible to benefit from the ISBADP?,"The eligibility criteria for benefiting from the ISBADP may vary depending on the specific schemes or projects under the program. Generally, the program targets the local communities residing in the border areas, but specific eligibility criteria may be defined by the implementing authorities."
iscwr,Incentive for the SC Widow Re-Marriage,Who can get the benefits under this scheme?,Widows of SC community belonging to Karnataka State can get the benefits under this scheme.
iscwr,Incentive for the SC Widow Re-Marriage,What are the benefits that a person gets under this scheme?,"Under this scheme, the Social Welfare Department, Government of Karnataka will give an incentive of [?]3 lakh to the remarried widows belonging to SC Community."
isdane,Industrial Skill Development Allowance To The New Employees Employed In Industries In H.p,How can I apply for the grant of allowance under the scheme?,Eligible applicants can apply by submitting an application form along with the required documents to the Employment Exchange in Himachal Pradesh where their name is registered.
isdane,Industrial Skill Development Allowance To The New Employees Employed In Industries In H.p,Where should I submit my application for the scheme?,The application can be submitted either by post or by personally delivering it to the Employment Exchange in Himachal Pradesh where your name is registered. Make sure to obtain a receipt for the application.
isdelhi,Internship Scheme,Who can apply for this internship?,"Interested students from Forestry, Technology, Wildlife, Social sciences, Science, Economics, Law, Management, and Finance about the functioning of the Department of Forest and Wildlife."
isdelhi,Internship Scheme,Which are the domain of fields for which internship is available?,"Conservation of Delhi Ridge, Forestry management, Planning and Monitoring, Protection of Forests and its resources, Wildlife management, Training, Policy and legal issues, Human resource management, Information Technology, Accounting."
isdmtpp,Institutional Support for Development and Marketing of Tribal Products/Produce,What is the objective of the scheme?,The objective of the Scheme is to create institutions for the Scheduled Tribes to support marketing and development of activities they depend on for their livelihood.
isdmtpp,Institutional Support for Development and Marketing of Tribal Products/Produce,Which is the implementing agency of this scheme?,"Ministry of Tribal Affairs, Government of India"
isds,Integrated Sheep Development Scheme,When as the Integrated Sheep Development Scheme (ISDS) launched?,Integrated Sheep Development Scheme (ISDS) was launched in the year 2020-21
isds,Integrated Sheep Development Scheme,Which department launched the ISDS Scheme?,The ISDS scheme was launched by the Sheep Husbandry Department of the J&K Government.
isec,Interest Subsidy Eligibility Certificate (isec) Scheme,What is the ISEC Scheme?,"Eligibility criteria may vary, but generally, Indian citizens pursuing professional or technical courses with a family income within specified limits are eligible for the scheme."
isec,Interest Subsidy Eligibility Certificate (isec) Scheme,How can I apply for the ISEC Scheme?,"To apply for the ISEC Scheme, you need to fill out the official application form and submit it along with the required documents to the designated authority responsible for implementing the scheme."
isecvcani,Incentive Scheme For The Electricity Consumers Under Various Categories In Andaman & Nicobar Islands,How does the scheme benefit the environment and the islands as a whole?,The scheme aims to minimize pollution by reducing carbon emissions and encourages switching to clean and green energy sources. This helps in making the Andaman & Nicobar Islands greener and reduces dependence on diesel generator sets.
isecvcani,Incentive Scheme For The Electricity Consumers Under Various Categories In Andaman & Nicobar Islands,What are the prize amounts for the domestic consumers who have installed green energy solutions?,"For domestic consumers under the Green Energy & Energy Conservation category, the first prize is [?]75,000/-, second prize is [?]50,000/-, and third prize is [?]30,000/-."
isensshps,Incentive Scheme for Establishment of New Super Specialty Hospital in Private Sector,Which specific medical specialties are covered under this super specialty hospital scheme's definition?,Benefits include: | 100% reimbursement of electricity duty. | Quarterly reimbursement payments. | Duration of 5 years from hospital commencement. | Separate notification for claim procedures.
isensshps,Incentive Scheme for Establishment of New Super Specialty Hospital in Private Sector,What are the minimum infrastructure requirements that a hospital must meet to qualify as a super specialty facility under this scheme?,"To qualify, hospitals must have: | - Minimum 10 dedicated beds for super specialty care. | - Total bed strength of at least 50 beds. | - Proper infrastructure for diagnosis and treatment in at least one recognized super specialty."
isepfo,Internship Scheme Of Employees’ Provident Fund Organisation (EPFO),Who Can Apply For The EPFO Internship Scheme?,"Students pursuing law in the last two years of their degree course, law graduates, students pursuing post-graduation in law, research scholars in law, and students pursuing post-graduation courses like MBA/MSW/MSc/MA from recognized universities or institutions within India or abroad are eligible to"
isepfo,Internship Scheme Of Employees’ Provident Fund Organisation (EPFO),What Is The Objective Of The EPFO Internship Scheme?,"The objective is to provide an opportunity for interns to learn about the EPFO's functioning, departmental policy issues, and contribute to policy/legislation formulation through empirical analysis, briefing reports, policy papers, etc. However, the internship does not guarantee a job in the EPFO."
isepqisrdceoplccn,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development ,"Who issues a conditional permit order, and when is it issued?","Officers issue a conditional permit order after a preliminary inspection (if applicable), and a final inspection determines the date of successful completion for recommending eligible cases for sanction."
isepqisrdceoplccn,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development ,What type of legal entity must farmer groups seeking assistance be?,"Farmer groups seeking assistance must be a legal entity (e.g., Reg. Society/FPC/FPO/SHG/SPS), and they must execute an agreement with the Board in the prescribed format on a [?]200/- stamp paper."
isfsr,Incentive Scheme for Sericulture Reelers,What is the Financial Assistance Scheme for Silk Reeling/Spinning Workers?,It is a scheme to provide loans and subsidies to minority individuals involved in silk reeling and spinning.
isfsr,Incentive Scheme for Sericulture Reelers,Who is eligible for this scheme?,Minority community members aged 18-55 who are permanent residents of Karnataka and involved in silk reeling/spinning.
isftcw,Insurance Scheme for the Construction Workers,What is the age requirement for registration as a beneficiary under the Building and Other Construction Workers Welfare Board of the U.T. Administration of Dadra and Nagar Haveli and Daman and Diu?,The building worker must be at least 18 years old and not older than 60 years old.
isftcw,Insurance Scheme for the Construction Workers,Is there a minimum service requirement to register as a beneficiary?,"Yes, the building worker must have completed 90 days of service as a building worker in the preceding 12 months."
isicsch,Incentive Scheme in Civil Service (Chhattisgarh),What is the minimum percentage of disability required to be eligible for the financial support scheme?,Applicants must have a disability of 40% or more to qualify for the financial support provided under this scheme.
isicsch,Incentive Scheme in Civil Service (Chhattisgarh),Is there a residency requirement to apply for this financial support scheme?,"Yes, only residents of Chhattisgarh are eligible to apply for this financial assistance scheme."
islaaa,Interest Subsidy on Loans for Agriculture and Allied Activities,"What is the official website of the Department of Fisheries, Government of Goa?","The official website is www.fisheries.goa.gov.in. For detailed guidelines, refer to https://fisheries.goa.gov.in/wp-content/uploads/2023/07/CitizenCharter-2.pdf."
islaaa,Interest Subsidy on Loans for Agriculture and Allied Activities,"Is there a specific format for the application form, and where can it be obtained?",The interested applicant can obtain the prescribed format of the application form from the official website: https://fisheries.goa.gov.in/schemes-services/.
ismole,Internship Scheme Of The Ministry Of Labour & Employment,What Documents Are Required To Be Submitted At The Time Of Joining The Internship?,"The following documents are required to be submitted at the time of joining the internship: | - Letter from the Supervisor/Head of Department/Principal, indicating the status of the applicant in their Institution. | - No Objection Certificate (NOC), allowing their student to undergo an Internship pr"
ismole,Internship Scheme Of The Ministry Of Labour & Employment,What Documents Are Required To Be Submitted At The Time Of Completion Of The Internship?,The following documents are required to be submitted at the time of completion of the internship: | - Submission of a paper on the allotted subject to the Head of the Division a Report / Paper at the end of the internship.
ismpsistl,Incentive Scheme for MSMEs in Powerloom Sector: Interest Subsidy on Term Loan,What areas are classified under “Zone A” for the purpose of determining incentives?,"""Zone A"" includes Kolkata Municipal Corporation Area, All municipal areas of North 24- Parganas, All municipal areas of South 24-Parganas, All municipal Corporation and municipal areas of Howrah."
ismpsistl,Incentive Scheme for MSMEs in Powerloom Sector: Interest Subsidy on Term Loan,Which districts fall under “Zone B” for incentive classification?,"""Zone B"" comprises Districts of Hooghly, North 24 Parganas (excluding municipal areas and Sundarban areas), South 24 Parganas (excluding municipal areas and Sundarban areas), Howrah(excluding corporation and municipal areas), Siliguri Municipal Corporation, Municipal Corporations /Municipal Areas of"
ismpsscis,Incentive Scheme for MSMEs in Powerloom Sector: State Capital Investment Subsidy,What is the primary eligibility criteria for incentives under the “Incentive Scheme for MSMEs in Powerloom Sector”?,"The scheme shall generally be applicable to all micro, small and medium enterprises in the powerloom sector which have started production on or after 1st day of January, 2022 and have executed a Four-party agreement between the enterprise, Tantuja, Directorate of Textiles & Financial institution. Te"
ismpsscis,Incentive Scheme for MSMEs in Powerloom Sector: State Capital Investment Subsidy,How does the Directorate of Textile scrutinize and conduct physical inspection of the enterprise upon receiving its application for incentives?,"On receipt of application for incentive from an enterprise the Directorate of Textile shall make, as expeditiously as possible and not later than 15 days, scrutiny of/ enquiry into particulars furnished by the enterprise and cause physical inspection of the enterprise through the Officers of the Dir"
ismpssee,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Energy Efficiency,What areas are classified under “Zone A” for the purpose of determining incentives?,"""Zone A"" includes Kolkata Municipal Corporation Area, All municipal areas of North 24- Parganas, All municipal areas of South 24-Parganas, All municipal Corporation and municipal areas of Howrah."
ismpssee,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Energy Efficiency,Which districts fall under “Zone B” for incentive classification?,"""Zone B"" comprises Districts of Hooghly, North 24 Parganas (excluding municipal areas and Sundarban areas), South 24 Parganas (excluding municipal areas and Sundarban areas), Howrah(excluding corporation and municipal areas), Siliguri Municipal Corporation, Municipal Corporations / Municipal Areas o"
ismpsspr,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Patent Registration,What areas are classified under “Zone A” for the purpose of determining incentives?,"""Special Area"" includes Kolkata Municipal Corporation Area, All municipal areas of North 24- Parganas, All municipal areas of South 24-Parganas, All municipal Corporation and municipal areas of Howrah."
ismpsspr,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Patent Registration,Which districts fall under “Zone B” for incentive classification?,"""Zone B"" comprises Districts of Hooghly, North 24 Parganas (excluding municipal areas and Sundarban areas), South 24 Parganas (excluding municipal areas and Sundarban areas), Howrah(excluding corporation and municipal areas), Siliguri Municipal Corporation, Municipal Corporations / Municipal Areas o"
ismpsssd,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy on Stamp Duty and Registration Fees,What areas are classified under “Zone A” for the purpose of determining incentives?,"""Zone A"" includes Kolkata Municipal Corporation Area, All municipal areas of North 24- Parganas, All municipal areas of South 24-Parganas, All municipal Corporation and municipal areas of Howrah."
ismpsssd,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy on Stamp Duty and Registration Fees,Which districts fall under “Zone B” for incentive classification?,"""Zone B"" comprises Districts of Hooghly, North 24 Parganas (excluding municipal areas and Sundarban areas), South 24 Parganas (excluding municipal areas and Sundarban areas), Howrah(excluding corporation and municipal areas), Siliguri Municipal Corporation, Municipal Corporations / Municipal Areas o"
ismpsssgst,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for State Goods and Services Tax (SGST),What areas are classified under “Zone A” for the purpose of determining incentives?,"""Zone A"" includes Kolkata Municipal Corporation Area, All municipal areas of North 24- Parganas, All municipal areas of South 24-Parganas, All municipal Corporation and municipal areas of Howrah."
ismpsssgst,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for State Goods and Services Tax (SGST),Which districts fall under “Zone B” for incentive classification?,"""Zone B"" comprises Districts of Hooghly, North 24 Parganas (excluding municipal areas and Sundarban areas), South 24 Parganas (excluding municipal areas and Sundarban areas), Howrah(excluding corporation and municipal areas), Siliguri Municipal Corporation, Municipal Corporations / Municipal Areas o"
ismpsssqc,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Standard Quality Compliance,What areas are classified under “Zone A” for the purpose of determining incentives?,"""Zone A"" includes Kolkata Municipal Corporation Area, All municipal areas of North 24- Parganas, All municipal areas of South 24-Parganas, All municipal Corporation and municipal areas of Howrah."
ismpsssqc,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Standard Quality Compliance,Which districts fall under “Zone B” for incentive classification?,"""Zone B"" comprises Districts of Hooghly, North 24 Parganas (excluding municipal areas and Sundarban areas), South 24 Parganas (excluding municipal areas and Sundarban areas), Howrah(excluding corporation and municipal areas), Siliguri Municipal Corporation, Municipal Corporations / Municipal Areas o"
ismpsswcec,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Water Conservation/ Environment Complian,What areas are classified under “Zone A” for the purpose of determining incentives?,"""Zone A"" includes Kolkata Municipal Corporation Area, All municipal areas of North 24- Parganas, All municipal areas of South 24-Parganas, All municipal Corporation and municipal areas of Howrah."
ismpsswcec,Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Water Conservation/ Environment Complian,Which districts fall under “Zone B” for incentive classification?,"""Zone B"" comprises Districts of Hooghly, North 24 Parganas (excluding municipal areas and Sundarban areas), South 24 Parganas (excluding municipal areas and Sundarban areas), Howrah(excluding corporation and municipal areas), Siliguri Municipal Corporation, Municipal Corporations / Municipal Areas o"
ismpswed,Incentive Scheme for MSMEs in Powerloom Sector: Waiver of Electricity Duty,What areas are classified under “Zone A” for the purpose of determining incentives?,"""Zone A"" includes Kolkata Municipal Corporation Area, All municipal areas of North 24- Parganas, All municipal areas of South 24-Parganas, All municipal Corporation and municipal areas of Howrah."
ismpswed,Incentive Scheme for MSMEs in Powerloom Sector: Waiver of Electricity Duty,Which districts fall under “Zone B” for incentive classification?,"""Zone B"" comprises Districts of Hooghly, North 24 Parganas (excluding municipal areas and Sundarban areas), South 24 Parganas (excluding municipal areas and Sundarban areas), Howrah(excluding corporation and municipal areas), Siliguri Municipal Corporation, Municipal Corporations / Municipal Areas o"
ismpswfwa,Incentive Scheme for MSMEs in Powerloom Sector: Work Force Welfare Assistance,What areas are classified under “Zone A” for the purpose of determining incentives?,"""Zone A"" includes Kolkata Municipal Corporation Area, All municipal areas of North 24- Parganas, All municipal areas of South 24-Parganas, All municipal Corporation and municipal areas of Howrah."
ismpswfwa,Incentive Scheme for MSMEs in Powerloom Sector: Work Force Welfare Assistance,Which districts fall under “Zone B” for incentive classification?,"""Zone B"" comprises Districts of Hooghly, North 24 Parganas (excluding municipal areas and Sundarban areas), South 24 Parganas (excluding municipal areas and Sundarban areas), Howrah(excluding corporation and municipal areas), Siliguri Municipal Corporation, Municipal Corporations/ Municipal Areas of"
ismsebcgc,Incentive Scheme for Meritorious Students of Economically Backward Class of General Category,Who implements the scheme?,"The Directorate of Secondary Education, Rajasthan, Bikaner."
ismsebcgc,Incentive Scheme for Meritorious Students of Economically Backward Class of General Category,How much financial benefit is provided under the scheme?,"A one-time financial assistance of ₹15,000/-."
ispgrsdgtr,Internship Scheme For PG/Research Students In Directorate General Of Trade Remedies (DGTR),Who Can Apply For The Internship In DGTR?,Postgraduate students or research scholars from recognized universities/institutes can apply.
ispgrsdgtr,Internship Scheme For PG/Research Students In Directorate General Of Trade Remedies (DGTR),What Is The Objective Of The Internship Scheme?,The objective is to familiarize interested PG students/research scholars with trade remedial investigations and trade defense measures.
isrs,Interest Subsidy Reimbursement Scheme,Can start-ups use the benefits of this scheme in conjunction with other interest subsidies or loans provided under the Chief Minister Rojgar Yojana (CMRY)?,"Yes, the benefits under this scheme are in addition to any other interest subsidy or loan provided under CMRY."
isrs,Interest Subsidy Reimbursement Scheme,"What is the significance of the ""No Default Certificate"" from the bank?","The ""No Default Certificate"" from the bank is one of the mandatory documents required for claiming the incentive. It likely ensures that the start-up has been fulfilling its loan repayment obligations."
iss-goa,Interest Subsidy Scheme for Smaller Business Units,Where Can I Find The Link To The Scheme Guidelines?,"You can access the comprehensive Scheme Guidelines, which provide intricate details and instructions, at the following web address: https://www.goa.gov.in/wp-content/uploads/2020/08/ITPolicySchemes2018.pdf"
iss-goa,Interest Subsidy Scheme for Smaller Business Units,Where Can I Find The Link To The Official Gazette?,You can obtain the Official Gazette by visiting this specific webpage: https://ditc.goa.gov.in/sites/default/files/Target-Schemes.pdf
iss,Interest Subvention Scheme,Who is eligible to apply?,"All categories of enterprises including proprietary concerns, partnerships, and companies that are making new investments in building, plant, and machinery for production purposes."
iss,Interest Subvention Scheme,For how long is the interest subvention provided?,The 5.5% interest subvention is provided for a maximum of five years from the first disbursement.
iss2008,"Interest Subsidy Scheme, 2008",For how long were units eligible to receive benefits under the scheme?,Units were eligible for benefits for a period of 5 years (20 quarters) from the quarter in which commercial production commenced.
iss2008,"Interest Subsidy Scheme, 2008",Which industries were covered under the scheme for eligibility?,"The scheme was applicable to industries covered under the ""Green"" list and specified ""Orange"" List, excluding units under Orange II and II B."
iss2017,"Interest Subsidy Scheme, 2017",What is the mandatory minimum percentage of Goan manpower that my enterprise must employ on a regular basis to remain eligible for these financial benefits?,"Your enterprise must engage a minimum of 60% of Goan manpower on regular employment, meaning those employees must be continuously on the unit’s payroll during the claim year."
iss2017,"Interest Subsidy Scheme, 2017","To qualify for the subsidy, what is the minimum business category I must belong to, and what commencement date must I meet?","You must be a Micro, Small, or Medium manufacturing industry listed under the White, Green, or Orange category, and you must have started production after 1st October 2017."
isscpswhse,Internship Scheme For Students Of Counselling/ Psychology/ Social Work/ Home Science Etc,Can The Internship Be Converted Into A Full-Time Job Or Lead To Regular Employment With The Women And Child Development Department After Completion?,"No, the internship does not guarantee conversion into a full-time job or regular employment. Completing the internship does not entitle interns to preferential treatment for employment with the department."
isscpswhse,Internship Scheme For Students Of Counselling/ Psychology/ Social Work/ Home Science Etc,"I Read About The Requirement To Sign A Bond. Can You Explain The Purpose Of The Bond, What It Entails, And What Happens If I Need To Leave The Internship For Unforeseen Reasons?","The bond ensures completing the internship without breaks. It's valued at one month's allowance. If you need to leave early, provide a 30-day notice; failure may result in forfeiting the bond or an equivalent amount from your allowance."
issfb,Incentive To Saharia Students For B.Ed,What is this scheme ?,"In Rajasthan, ""Incentive To Saharia Students For B.Ed"" scheme is run by the ""Tribal Area Development Department"" from 2004-05."
issfb,Incentive To Saharia Students For B.Ed,What Are The Benefits Under The Scheme ?,"Saharia tribe students who are taking regular B.Ed training are given Rs.30,000 in the first year and Rs.30,000 in the second year."
isshsfdc,Industrial Sector Scheme (HSFDC),Who implements the Scheme?,The Haryana Scheduled Castes Finance and Development Corporation (HSFDC) implements the scheme in collaboration with bank tie-up schemes.
isshsfdc,Industrial Sector Scheme (HSFDC),Who is eligible for the loan under this scheme?,"Individuals from BPL families, whose annual family income does not exceed ₹1,80,000/- and who are residents of Haryana, belonging to the Scheduled Caste Category, are eligible."
issmp,Integrated Scholarship Scheme,Who is eligible for the Scheme?,"To be eligible, students must be natives of Madhya Pradesh, studying in a government or aided private college, with a family income not exceeding [?]54,000/- per annum. Specific academic and sports criteria also apply."
issmp,Integrated Scholarship Scheme,What types of scholarships are offered under this scheme?,"The scheme offers scholarships for Ph.D., M.Phil., Postgraduate (merit-based and merit-cum-means-based), and sports, as well as merit-based scholarships for graduates."
issoel,Interest Subsidy Scheme on Education Loan,"What is the objective of the ""Interest Subsidy Scheme on Education Loan""?","The ""Interest Subsidy Scheme on Education Loan"" is a financial assistance initiative launched by the Education Department, Government of Gujarat, which provides 100% interest subsidy on education loans up to ₹10,00,000 during the moratorium period, covering the study period and one year after comple"
issoel,Interest Subsidy Scheme on Education Loan,"Who is eligible to apply under the ""Interest Subsidy Scheme on Education Loan""?","The applicant must be a resident of Gujarat, must have passed Standard 12th with at least 60 percentile, must have taken an education loan from a scheduled bank for higher education in India or abroad, and must have a family income not exceeding ₹6,00,000 per year."
isss-oap,Integrated Social Security Scheme - Old Age Pension,Which Are The Components Of The ISSS (Integrated Social Security Scheme)?,The ISSS (Integrated Social Security Scheme) has the following components - a) Pension for Old Age Person b) Pension for Women in Distress c) Pension for Physically Challenged Person d) Pension to Transgenders
isss-oap,Integrated Social Security Scheme - Old Age Pension,"What Benefits Are Provided Under The ""Pension For Old Age Person"" Component Of ISSS?","Under the ""Pension For Old Age Person"" component of ISSS, a pension of [?]1000 per pensioner per month is deposited directly into their Bank Account through DBT mode."
isss-pot,Integrated Social Security Scheme - Pension For Transgender,Which are the components of the ISSS (Integrated Social Security Scheme)?,The ISSS (Integrated Social Security Scheme) has the following components - | a) Pension for Old Age Person | b) Pension for Women in Distress | c) Pension for Physically Challenged Person | d) Pension to Transgenders
isss-pot,Integrated Social Security Scheme - Pension For Transgender,"What benefits are provided under the ""Pension To Transgenders"" Component Of ISSS?","Under the ""Pension to Transgenders"" component of ISSS, a pension of [?]1000 per pensioner per month is deposited directly into their Bank Account through DBT mode."
isss-ppcp,Integrated Social Security Scheme - Pension For Physically Challenged Persons,Which Are The Components Of The ISSS (Integrated Social Security Scheme)?,The ISSS (Integrated Social Security Scheme) has the following components - a) Pension for Old Age Person b) Pension for Women in Distress c) Pension for Physically Challenged Person d) Pension to Transgenders
isss-ppcp,Integrated Social Security Scheme - Pension For Physically Challenged Persons,"What Benefits Are Provided Under The ""Pension For Physically Challenged Persons"" Component Of ISSS?","Under the ""Pension for Physically Challenged Persons"" component of ISSS, a pension of [?]1000 per pensioner per month is deposited directly into their Bank Account through DBT mode."
isss-wid,Integrated Social Security Scheme - Women In Distress,Which Are The Components Of The ISSS (Integrated Social Security Scheme)?,The ISSS (Integrated Social Security Scheme) has the following components - a) Pension for Old Age Persons b) Pension for Women in Distress c) Pension for Physically Challenged Persons d) Pension to Transgenders
isss-wid,Integrated Social Security Scheme - Women In Distress,"What Benefits Are Provided Under The ""Women In Distress"" Component Of ISSS?","Under the ""Pension to Women In Distress,"" component of ISSS, a pension of [?]1000 per pensioner per month is deposited directly into their Bank Account through DBT mode."
issscste,Interest Subsidy Scheme for Scheduled Caste/Scheduled Tribe Entrepreneurs,What is the Interest Subsidy Scheme for SC/ST Entrepreneurs?,It is a scheme introduced by the Government of Karnataka to provide interest subsidies on loans for SC/ST entrepreneurs through KSFC.
issscste,Interest Subsidy Scheme for Scheduled Caste/Scheduled Tribe Entrepreneurs,What is the effective interest rate under the scheme?,"The effective interest rate is 4%, with the difference covered by the GoK."
isssoap,Integrated Social Security Scheme: Old Age Pension,How much financial assistance is provided under scheme?,"The scheme provides a pension of [?]1,000 per month to eligible beneficiaries."
isssoap,Integrated Social Security Scheme: Old Age Pension,Who is eligible for the scheme?,"Permanent residents of Ladakh, aged 60 years and above for males, and 55 years and above for females, belonging to the Below Poverty Line (BPL) category, with no means of subsistence."
isssppcp,Integrated Social Security Scheme: Pension to Physically Challenged Persons,Who is eligible for this pension scheme?,"Permanent residents of the Union Territory of Ladakh who are physically challenged with a disability of 40% or more, belong to the BPL category, aged between 18 and 79 years, and have no source of income are eligible."
isssppcp,Integrated Social Security Scheme: Pension to Physically Challenged Persons,What is the amount of financial assistance provided under this scheme?,"Beneficiaries receive [?]1,000 per month."
issspwd,Integrated Social Security Scheme: Pension for Women in Distress,Who is eligible for this pension scheme?,"Women who are permanent residents of Ladakh, belong to the BPL category, aged between 40 and 79 years, and are either destitute, separated, divorced, or widowed with no source of income."
issspwd,Integrated Social Security Scheme: Pension for Women in Distress,What is the amount of financial assistance provided under this scheme?,"Beneficiaries receive [?]1,000 per month."
isuidai,Internship Scheme By The Unique Identification Authority Of India (UIDAI),What Is The Duration Of The UIDAI Internship Scheme?,The duration of the UIDAI internship scheme is a minimum of two months and a maximum of six months
isuidai,Internship Scheme By The Unique Identification Authority Of India (UIDAI),Is There Any Application Fee For The UIDAI Internship Scheme?,"No, there is no application fee for the UIDAI internship scheme"
iswc-atisis,"""Interest Subvention on Working Capital"" under the ""Assam Tea Industries Special Incentives Scheme""",What types of tea plantation sizes are eligible to apply for the interest subvention benefit on working capital loans?,"Tea plantations of all sizes are eligible to apply for this benefit, with no minimum or maximum size restrictions specified."
iswc-atisis,"""Interest Subvention on Working Capital"" under the ""Assam Tea Industries Special Incentives Scheme""",Can manufacturing units producing different varieties of tea beyond the traditional types qualify for this working capital interest subvention?,"Yes, manufacturing units producing Crush, Tear, Curl Tea, Orthodox Tea, or Specialty tea including Green tea, Oolong Tea, White tea, Yellow tea and Purple tea are all eligible."
iteams,Integrated Technology Enabled Agriculture Management System Or iTEAMS,What is the key objective of the Scheme?,"The key objective of the Scheme is:- | Addressing the critical issue of enabling and facilitating access to remunerative and sustainable markets for farmers' produce in the most transparent and effective manner through facilitation service iTEAM Dial 1917, whereby farmers can be assisted on the foll"
iteams,Integrated Technology Enabled Agriculture Management System Or iTEAMS,What is the type of assistance/entitlement?,"Telephone advice, free mobile sms to registered farmers, transport service to evacuate farmers produce to markets at the rate of INR 2.00 per KM per Quintal."
itfh,Integrated Toll Free 104 Helpline,Under which mission is the helpline launched?,It is launched under the National Health Mission (NHM).
itfh,Integrated Toll Free 104 Helpline,What is the main objective of the 104 Helpline?,"The main objective is to offer round-the-clock health information, medical guidance, and support to the general public."
itg,Incentive To Girls,What is this scheme ?,"Rajasthan State started a scheme ""Incentive for Girls"" for state students."
itg,Incentive To Girls,What Are The Benefits Under The Scheme ?,Financial Assistance is provided to the agricultural studying girl student.
iticitda,IT Incubation Centre - Information Technology Development Agency,Who can apply for the IT Incubation Centre?,"Registered startups from Uttarakhand, IT students, medical students, and entrepreneurs working in fields such as IT, AI, healthcare, biotechnology, travel & tourism, skill development, and bio-robotics are eligible to apply."
